#Second case with k = 0.4 and B = 20.0
#u              v              
2.082263        -4.025336      
2.042009        -3.894518      
2.003064        -3.759527      
1.965469        -3.620739      
1.929261        -3.478510      
1.894476        -3.333180      
1.861145        -3.185067      
1.829294        -3.034478      
1.798949        -2.881698      
1.770132        -2.726999      
1.742862        -2.570637      
1.717156        -2.412856      
1.693027        -2.253884      
1.670488        -2.093938      
1.649549        -1.933223      
1.630217        -1.771933      
1.612497        -1.610253      
1.596395        -1.448356      
1.581911        -1.286411      
1.569047        -1.124577      
1.557801        -0.963005      
1.548171        -0.801842      
1.540153        -0.641229      
1.533741        -0.481302      
1.528928        -0.322194      
1.525706        -0.164035      
1.524065        -0.006949      
1.523996        0.148938       
1.525485        0.303502       
1.528520        0.456623       
1.533087        0.608177       
1.539168        0.758043       
1.546749        0.906098       
1.555810        1.052218       
1.566332        1.196276       
1.578295        1.338143       
1.591676        1.477690       
1.606453        1.614781       
1.622601        1.749278       
1.640094        1.881041       
1.658904        2.009922       
1.679003        2.135771       
1.700361        2.258432       
1.722945        2.377745       
1.746723        2.493542       
1.771658        2.605652       
1.797715        2.713896       
1.824854        2.818093       
1.853034        2.918051       
1.882215        3.013576       
1.912351        3.104468       
1.943395        3.190521       
1.975301        3.271523       
2.008016        3.347260       
2.041488        3.417512       
2.075664        3.482055       
2.110484        3.540664       
2.145891        3.593113       
2.181822        3.639172       
2.218214        3.678613       
2.255000        3.711212       
2.292112        3.736743       
2.329479        3.754989       
2.367029        3.765737       
2.404687        3.768782       
2.442374        3.763928       
2.480014        3.750994       
2.517524        3.729810       
2.554822        3.700221       
2.591824        3.662094       
2.628445        3.615312       
2.664598        3.559785       
2.700196        3.495444       
2.735150        3.422250       
2.769373        3.340191       
2.802775        3.249287       
2.835268        3.149591       
2.866763        3.041190       
2.897175        2.924207       
2.926417        2.798804       
2.954405        2.665178       
2.981057        2.523565       
3.006293        2.374243       
3.030035        2.217525       
3.052211        2.053763       
3.072748        1.883346       
3.091582        1.706700       
3.108649        1.524283       
3.123891        1.336586       
3.137257        1.144129       
3.148699        0.947458       
3.158173        0.747142       
3.165645        0.543768       
